Date,Model,Branch,Units_Sold,Sales_Person,Body_Builder,Financier,Chassis_Number,Order_Date,Invoice_Date,Buying_Price,Selling_Price,Customer_Name,Customer_Location,Payment_Mode
2007-05-10,Isuzu FVR,Eldoret,1,Stacey Bass,Rifter,Equity Bank,JABC083XYZdz,2016-01-11,2019-06-03,4572703,3230559,Julia Weaver,New Kaitlyn,Credit
2011-06-12,Isuzu FSR,Mombasa,5,Kathleen Pacheco,Labh Singh,Equity Bank,JABC475XYZba,2017-01-08,2023-12-30,5752928,5376673,Andrea Gibson,South Robertbury,Cash
2004-11-08,Isuzu FSR,Mombasa,1,Dana Ortiz,General Body Works,Equity Bank,JABC781XYZKH,2007-04-23,2023-01-03,3008507,3126776,Amber Robertson,Kellyberg,Credit
2024-05-13,Isuzu FSR,Eldoret,3,Karen Krause,TransAfrica,Co-op Bank,JABC646XYZgZ,2019-07-23,2010-06-24,2516031,2547367,Anna Dudley,North Jonathanshire,Cash
2002-01-04,Isuzu FVR,Chuka,1,Derek Reed,Rifter,Family Bank,JABC870XYZFo,2017-08-12,2014-08-02,4674691,3633397,Lori Watson,Jenniferbury,Credit
2015-04-23,Isuzu FRR90,Chuka,1,Benjamin Patterson,Rifter,Equity Bank,JABC866XYZRx,2008-06-20,2020-12-11,3413285,5640283,Richard Duarte,Donnamouth,Credit
2009-09-23,Isuzu FRR90,Meru,4,Kristy Moran,Labh Singh,KCB,JABC938XYZUZ,2018-07-23,2010-08-03,2806479,4828767,Joshua Medina,East Xavier,Credit
2010-05-01,Isuzu FSR,Eldoret,4,Stephen Lewis,Rifter,Co-op Bank,JABC500XYZMF,2015-11-23,2021-11-30,5752032,6283151,Grace Gutierrez,South Jeffrey,Cash
2007-06-01,Isuzu D-MAX,Nairobi,1,Joshua Williams,Krystal,Equity Bank,JABC753XYZhj,2007-08-16,2018-11-29,2536364,4458919,Christopher Campos,West Nancymouth,Credit
2005-04-21,Isuzu FVR,Eldoret,1,Derek Reed,Krystal,Equity Bank,JABC116XYZZC,2021-09-17,2020-10-04,2663478,3802970,Melissa Lopez,Dennisstad,Credit
2021-10-10,Isuzu D-MAX,Mombasa,1,Brittany Rogers,General Body Works,NCBA,JABC759XYZvU,2006-05-02,2011-01-27,5631097,4014520,Samuel Thomas,Lake Aaronmouth,Credit
2013-01-27,Isuzu FRR90,Mombasa,2,Derek Reed,TransAfrica,Family Bank,JABC604XYZKZ,2011-03-19,2023-04-11,3426360,4233391,Jessica Mueller,Medinastad,Cash
2016-05-03,Isuzu D-MAX,Eldoret,5,Steven Dixon,Labh Singh,NCBA,JABC749XYZpQ,2025-02-20,2011-06-26,2069519,3211475,Michael Morton,Brendashire,Cash
2001-10-18,Isuzu FVR,Eldoret,1,Michael Miller,General Body Works,Co-op Bank,JABC719XYZAe,2013-06-27,2014-01-14,2039080,2606242,Margaret Bishop,East Toddland,Cash
2016-11-28,Isuzu D-MAX,Mombasa,4,Kathleen Pacheco,Labh Singh,KCB,JABC723XYZog,2002-01-09,2019-05-17,5380145,4084156,James Callahan,Rebeccaville,Cash
2021-12-22,Isuzu FSR,Chuka,1,Crystal Fleming,Rifter,Family Bank,JABC578XYZxI,2018-06-12,2009-02-05,3541773,6271414,Dr. Charles Cain,Lake Davidchester,Cash
2016-01-30,Isuzu FVR,Chuka,3,Dana Ortiz,Labh Singh,Family Bank,JABC633XYZdu,2008-09-26,2003-06-22,4830095,4061128,Valerie Miller,New Grant,Credit
2001-11-25,Isuzu FVR,Chuka,1,Katie Romero,Labh Singh,Equity Bank,JABC645XYZPb,2017-08-25,2022-05-07,5737523,2547361,John Rodriguez,Cortezchester,Credit
2022-01-20,Isuzu NQR Xtra,Chuka,3,Stephen Lewis,General Body Works,NCBA,JABC288XYZpf,2001-02-08,2000-09-05,3377984,4146032,Jessica Reed,Mitchellport,Credit
2017-07-13,Isuzu FVR,Chuka,5,Kathleen Pacheco,Rifter,Family Bank,JABC129XYZzk,2002-03-01,2004-08-21,2792644,4039152,Andrew Stephens,Gabrielshire,Credit
2016-07-09,Isuzu FVR,Mombasa,2,Steven Dixon,General Body Works,Family Bank,JABC762XYZAt,2014-05-18,2006-08-20,3035340,5862079,Jason Osborn,Lake Austin,Cash
2012-11-30,Isuzu FRR90,Mombasa,4,Dana Ortiz,Labh Singh,Family Bank,JABC195XYZra,2022-08-18,2013-01-26,4458884,3879404,Natalie Nguyen,West George,Cash
2025-02-12,Isuzu FRR90,Eldoret,4,Nicolas Grant,Rifter,Family Bank,JABC132XYZoS,2014-09-13,2013-03-22,2942621,4695814,Lisa Miller,West Donaldville,Credit
2020-07-12,Isuzu FRR90,Nairobi,4,Cindy Ingram,Labh Singh,Family Bank,JABC092XYZCt,2017-12-28,2023-03-01,2393545,2800763,Matthew Oneal,South Christinamouth,Cash
2014-06-02,Isuzu FRR90,Meru,3,Stacey Bass,Labh Singh,Equity Bank,JABC490XYZwM,2022-10-31,2004-04-09,2047850,4077586,Jake Soto,South Paulatown,Cash
2011-06-17,Isuzu FSR,Nairobi,4,Michael Miller,Labh Singh,Family Bank,JABC621XYZrg,2013-09-19,2012-05-19,5394020,3972077,Marissa Kim,Port Raymond,Cash
2010-01-18,Isuzu FSR,Meru,3,Stacey Bass,Krystal,NCBA,JABC932XYZtE,2018-07-01,2013-08-12,2981598,3305896,Victoria Crawford,East Yolanda,Cash
2025-06-10,Isuzu FSR,Mombasa,5,Cindy Ingram,TransAfrica,KCB,JABC453XYZyx,2002-07-13,2010-03-06,2480620,3044444,Michael Schmidt,East Brian,Cash
2011-01-01,Isuzu NQR Xtra,Meru,3,Derek Reed,General Body Works,KCB,JABC041XYZIs,2019-05-28,2006-08-29,2309799,2927557,Ryan Duncan,Garciabury,Credit
2007-03-19,Isuzu D-MAX,Eldoret,3,Alicia Gutierrez,Krystal,NCBA,JABC566XYZPM,2007-12-22,2003-06-14,5390919,4205096,Thomas Goodman,New Amyfurt,Credit
2019-04-12,Isuzu FVR,Chuka,2,Brittany Rogers,Krystal,Co-op Bank,JABC073XYZEx,2014-06-28,2010-04-28,5632612,5319127,Misty Lewis,Port Dustinmouth,Credit
2022-12-01,Isuzu NQR Xtra,Nairobi,2,Carol Waters,Krystal,Family Bank,JABC638XYZjW,2004-04-01,2014-08-05,5790401,4737225,Cassandra Odonnell,North Henryhaven,Cash
2001-02-23,Isuzu D-MAX,Meru,1,Katie Romero,Labh Singh,Co-op Bank,JABC987XYZcl,2019-03-23,2004-03-13,5620645,3083072,James Smith,South Laura,Credit
2003-09-02,Isuzu D-MAX,Chuka,2,Cindy Ingram,TransAfrica,Co-op Bank,JABC385XYZIY,2022-03-11,2010-06-29,5703375,4925358,Lori Pittman,South Jamesmouth,Credit
2003-07-16,Isuzu FRR90,Meru,5,Shannon Thompson,Labh Singh,KCB,JABC054XYZRr,2009-06-07,2009-02-28,3349919,6028597,Valerie Moreno,Martintown,Cash
2023-04-04,Isuzu FVR,Nairobi,5,Steven Dixon,General Body Works,KCB,JABC092XYZDr,2014-08-16,2019-05-15,3349282,4010902,Deborah Mueller,Russellburgh,Credit
2014-04-17,Isuzu FRR90,Chuka,5,Dana Ortiz,TransAfrica,Co-op Bank,JABC092XYZNw,2002-10-08,2018-06-04,3280280,5763147,Sue Jones,Christinaborough,Credit
2001-03-06,Isuzu FRR90,Chuka,5,Derek Reed,Rifter,NCBA,JABC071XYZId,2008-08-22,2004-09-24,5908988,4949851,Becky Chen,Cindymouth,Cash
2011-12-04,Isuzu NQR Xtra,Eldoret,3,Carol Waters,Labh Singh,NCBA,JABC128XYZLl,2023-07-01,2020-09-16,3760027,3917285,Matthew Roth,Moralesville,Credit
2015-03-21,Isuzu D-MAX,Meru,1,Steven Dixon,General Body Works,Equity Bank,JABC838XYZIA,2024-10-23,2001-12-14,4657001,5779692,Lucas Kelly,West Derekfurt,Cash
2021-12-07,Isuzu FVR,Chuka,4,Karen Krause,Krystal,NCBA,JABC761XYZHH,2008-04-27,2014-08-06,3725282,4363032,Diane Heath,South Jameston,Cash
2011-03-04,Isuzu FRR90,Meru,2,Derek Reed,Labh Singh,Family Bank,JABC509XYZGG,2021-09-17,2017-02-08,5044410,4922651,John Davis,Salasfurt,Credit
2009-05-17,Isuzu FVR,Eldoret,3,Karen Krause,Labh Singh,KCB,JABC991XYZbW,2005-02-27,2018-10-05,5090086,4318182,William Curtis,West Jeremy,Credit
2001-07-19,Isuzu FVR,Eldoret,4,Nicolas Grant,Rifter,Family Bank,JABC554XYZZc,2018-07-07,2002-07-07,3445675,3133976,David Jennings,West Lauren,Credit
2022-06-30,Isuzu FSR,Mombasa,4,Cindy Ingram,General Body Works,Equity Bank,JABC233XYZVP,2003-08-29,2002-10-14,3881986,3489924,Madeline Sandoval,East Donna,Credit
2015-02-11,Isuzu D-MAX,Eldoret,2,Michael Miller,Rifter,NCBA,JABC179XYZsf,2009-04-05,2018-02-25,5531649,4863319,Christopher Brock,Santiagoshire,Cash
2001-12-17,Isuzu FRR90,Mombasa,5,Katie Romero,Labh Singh,KCB,JABC119XYZJZ,2023-09-04,2010-10-03,5113192,2854182,Peter Gilbert,South Michelle,Cash
2008-07-28,Isuzu FRR90,Eldoret,5,Crystal Fleming,TransAfrica,Family Bank,JABC471XYZtp,2013-09-25,2010-04-15,3352935,5201160,Aaron Holmes,Smithton,Cash
2002-06-08,Isuzu NQR Xtra,Chuka,4,Cindy Ingram,Krystal,Co-op Bank,JABC053XYZVy,2001-01-18,2004-11-22,3536201,4079889,Jaime Johnson,East Ryan,Credit
2024-09-18,Isuzu D-MAX,Mombasa,3,Shannon Thompson,Labh Singh,NCBA,JABC496XYZAD,2022-06-21,2025-01-20,4184080,4070497,Julie Duncan,Kevinfort,Cash
2014-04-26,Isuzu FVR,Mombasa,4,Katie Romero,Labh Singh,Co-op Bank,JABC326XYZSo,2011-02-25,2010-10-25,3446053,4979129,Elizabeth Barrett,Port Lisahaven,Cash
2008-06-15,Isuzu FSR,Eldoret,5,Nicolas Grant,Rifter,KCB,JABC509XYZiC,2002-05-25,2021-04-24,2842606,4038148,Martha Crawford,West Adrienne,Credit
2013-06-26,Isuzu D-MAX,Nairobi,3,Nicolas Grant,Krystal,Family Bank,JABC168XYZwn,2017-01-31,2008-03-09,3628661,5033922,Corey Singh,Dennischester,Credit
2009-05-23,Isuzu FVR,Nairobi,4,Stacey Bass,General Body Works,Co-op Bank,JABC450XYZWB,2004-02-11,2001-07-31,5161250,6144393,Bryan Mclaughlin,Donovanshire,Cash
2023-04-08,Isuzu FRR90,Chuka,4,Derek Reed,Rifter,Family Bank,JABC657XYZST,2014-04-06,2021-12-16,4013783,3835119,Donna Downs,Alvarezberg,Cash
2018-06-22,Isuzu FRR90,Eldoret,3,Stacey Bass,Labh Singh,Equity Bank,JABC576XYZJo,2002-06-25,2017-03-08,4708016,5331455,Kimberly Payne,Port Christianland,Cash
2001-06-21,Isuzu FVR,Eldoret,5,Carol Waters,Labh Singh,Co-op Bank,JABC173XYZye,2008-01-13,2017-07-18,3164638,5576511,Jennifer Hall,Ericburgh,Credit
2024-12-07,Isuzu FRR90,Nairobi,4,Nicolas Grant,Labh Singh,KCB,JABC268XYZRM,2016-12-24,2017-04-29,2902810,5138580,Richard Levy,South Kelly,Cash
2010-04-09,Isuzu D-MAX,Meru,4,Louis Smith,General Body Works,Co-op Bank,JABC801XYZog,2021-03-14,2002-08-25,3236855,3546094,Michelle Fernandez,New Ronald,Credit
2001-11-03,Isuzu FRR90,Chuka,5,Cindy Ingram,TransAfrica,Equity Bank,JABC148XYZEY,2012-06-21,2013-06-27,4363304,6083408,Patrick White,Williamsborough,Cash
2001-05-11,Isuzu FSR,Chuka,4,Kristy Moran,TransAfrica,NCBA,JABC731XYZFU,2012-11-30,2016-06-23,4369180,2616481,Brittney Cooper,Gregoryburgh,Credit
2001-10-20,Isuzu NQR Xtra,Eldoret,2,Shannon Thompson,Rifter,KCB,JABC999XYZzy,2019-01-18,2018-11-07,4629821,4742019,Anthony Huynh,North Timothyborough,Cash
2002-01-25,Isuzu FSR,Chuka,4,Louis Smith,General Body Works,Family Bank,JABC488XYZIQ,2008-01-16,2018-01-10,3776025,3654258,Nicole Larsen,East Robin,Credit
2003-08-09,Isuzu FRR90,Eldoret,5,Nicolas Grant,Rifter,KCB,JABC449XYZHa,2006-12-22,2014-09-17,4674986,5915814,Michelle Mcdaniel,West Sheribury,Cash
2001-07-14,Isuzu D-MAX,Nairobi,5,Kathleen Pacheco,TransAfrica,Family Bank,JABC480XYZnX,2013-09-23,2012-07-06,2843214,2665301,Kelsey Herman,West Luismouth,Cash
2011-10-02,Isuzu FVR,Eldoret,3,Alicia Gutierrez,Krystal,KCB,JABC448XYZRO,2002-09-14,2012-11-10,5459340,5718622,Jennifer Adkins,Lake Kimberlystad,Cash
2016-12-26,Isuzu FVR,Nairobi,5,Benjamin Patterson,Rifter,KCB,JABC646XYZEu,2024-09-27,2001-04-30,3224369,5047624,Cody Hill,Leestad,Credit
2006-12-04,Isuzu FRR90,Eldoret,4,Karen Krause,Krystal,Equity Bank,JABC519XYZkg,2002-06-25,2024-03-18,4325149,5772145,Valerie Spears,Wilsonland,Credit
2017-06-04,Isuzu D-MAX,Mombasa,1,Carol Waters,Krystal,Family Bank,JABC242XYZMo,2008-06-16,2007-08-19,4357761,3146231,Lindsay Leon,Lake Kelly,Cash
2002-07-11,Isuzu NQR Xtra,Nairobi,4,Joshua Williams,General Body Works,Co-op Bank,JABC333XYZhM,2018-02-16,2021-06-14,4296482,5257867,Daniel Cole,South Christinatown,Credit
2006-12-25,Isuzu NQR Xtra,Mombasa,4,Dana Ortiz,TransAfrica,NCBA,JABC720XYZbl,2008-09-28,2015-07-17,4249119,4951603,Holly Adams MD,West Raymond,Credit
2016-11-24,Isuzu D-MAX,Meru,3,Kristy Moran,TransAfrica,Family Bank,JABC952XYZvB,2001-01-31,2017-05-04,5894099,2901468,Melissa Simon,Abbottfurt,Cash
2019-10-26,Isuzu FRR90,Meru,2,Brittany Rogers,TransAfrica,Equity Bank,JABC262XYZWr,2013-02-16,2010-12-21,5783900,4179832,George Hammond,South Johnfurt,Cash
2023-11-20,Isuzu FRR90,Mombasa,2,Benjamin Patterson,Labh Singh,Equity Bank,JABC938XYZGM,2018-07-04,2013-02-17,4997439,5728409,Kelly Estes,East Joshuaport,Credit
2000-01-26,Isuzu FRR90,Meru,1,Louis Smith,Rifter,Equity Bank,JABC286XYZjE,2021-03-21,2007-07-17,2341447,2716651,Alexander Campbell,Jonesville,Cash
2004-03-05,Isuzu D-MAX,Eldoret,1,Benjamin Patterson,General Body Works,Co-op Bank,JABC486XYZLB,2007-07-19,2022-10-22,2747520,4111589,Samantha Russell,Scottfurt,Credit
2025-10-07,Isuzu FVR,Nairobi,4,Shannon Thompson,Krystal,Co-op Bank,JABC908XYZaN,2004-12-12,2010-11-12,5635715,4269085,Jason Harrison,Jensenfurt,Cash
2007-09-11,Isuzu FVR,Chuka,1,Crystal Fleming,Rifter,Equity Bank,JABC701XYZiO,2020-09-07,2022-06-12,5784848,3949299,Eric Bishop,East Deborah,Credit
2003-10-09,Isuzu FRR90,Mombasa,1,Crystal Fleming,General Body Works,Equity Bank,JABC167XYZFK,2014-10-31,2025-05-10,4028217,3159297,Sherri Johnson,Cynthiaberg,Credit
2013-07-13,Isuzu NQR Xtra,Mombasa,5,Joshua Williams,Krystal,Equity Bank,JABC009XYZEc,2022-01-02,2016-03-16,4233969,2692803,Justin Hicks,Rhondaberg,Cash
2016-04-04,Isuzu D-MAX,Mombasa,4,Michael Miller,Krystal,Family Bank,JABC374XYZXH,2002-01-25,2002-10-16,4114821,5510969,Emily Glenn,New Mariofurt,Cash
2002-02-09,Isuzu FSR,Mombasa,5,Derek Reed,Krystal,NCBA,JABC675XYZRr,2023-12-01,2016-01-13,5027929,3778283,Noah Walters,North Margaret,Credit
2020-07-26,Isuzu FRR90,Meru,4,Shannon Thompson,TransAfrica,NCBA,JABC315XYZql,2017-04-24,2005-09-05,2774456,5454233,Justin Maddox,Williamfort,Credit
2007-11-21,Isuzu NQR Xtra,Chuka,2,Kristy Moran,TransAfrica,NCBA,JABC147XYZUX,2005-08-29,2006-09-24,4070569,3688304,Janet Riley,East Mary,Credit
2000-10-04,Isuzu FSR,Eldoret,2,Shannon Thompson,Labh Singh,Co-op Bank,JABC063XYZcm,2024-09-11,2009-11-17,4728338,5985583,Hannah Tucker,Port Kathryn,Credit
2017-02-15,Isuzu NQR Xtra,Chuka,5,Stephen Lewis,Labh Singh,Co-op Bank,JABC951XYZUD,2011-08-05,2017-09-16,2401176,3571038,David Lane,New Jenna,Credit
2003-12-08,Isuzu FVR,Eldoret,2,Katie Romero,Rifter,KCB,JABC164XYZRs,2012-02-11,2020-04-05,2221576,5602923,Christopher Hernandez,Smithview,Credit
2018-02-24,Isuzu FVR,Chuka,4,Louis Smith,Rifter,Co-op Bank,JABC333XYZFM,2003-11-20,2001-06-17,4111740,6481576,Brenda Bird,Port Matthew,Cash
2003-12-05,Isuzu NQR Xtra,Mombasa,5,Dana Ortiz,General Body Works,NCBA,JABC304XYZHU,2023-04-03,2006-02-19,2319753,6330405,Leslie Morales,West Ryanhaven,Credit
2025-07-16,Isuzu FVR,Mombasa,3,Stacey Bass,Labh Singh,NCBA,JABC612XYZAm,2006-11-12,2024-09-07,2174898,3898705,James Melendez,Port Tannerhaven,Cash
2005-12-19,Isuzu FRR90,Eldoret,4,Nicolas Grant,TransAfrica,KCB,JABC713XYZQg,2024-07-07,2019-07-10,2829347,3438565,Jenny Lopez,Jessicabury,Cash
2003-10-21,Isuzu FRR90,Chuka,3,Crystal Fleming,Labh Singh,Equity Bank,JABC567XYZHg,2020-11-15,2023-11-09,4030888,3537904,James Moses,Greentown,Cash
2003-05-30,Isuzu FRR90,Eldoret,5,Derek Reed,Krystal,Co-op Bank,JABC547XYZGb,2013-11-22,2009-12-11,5448593,5289657,Melanie Santiago,Leslieland,Credit
2019-04-29,Isuzu FSR,Nairobi,1,Alicia Gutierrez,Labh Singh,NCBA,JABC384XYZIR,2015-03-12,2011-11-14,3419754,3729140,Donna Barnett,Wilsonview,Credit
2021-07-11,Isuzu D-MAX,Eldoret,3,Dana Ortiz,Krystal,Equity Bank,JABC133XYZZt,2007-02-27,2025-03-14,2447095,5772262,David Hensley,Herreraview,Cash
2008-01-18,Isuzu NQR Xtra,Meru,1,Karen Krause,General Body Works,KCB,JABC088XYZAK,2002-07-03,2011-01-19,3079229,3640441,Linda Rogers,Gonzalezport,Cash
2007-08-07,Isuzu FVR,Chuka,3,Cindy Ingram,Rifter,NCBA,JABC601XYZDf,2001-01-18,2021-07-26,3005344,4328881,Anthony Alvarado,Port Theresashire,Cash
2015-06-15,Isuzu NQR Xtra,Chuka,2,Kristy Moran,Labh Singh,Equity Bank,JABC490XYZMW,2022-03-17,2008-12-23,5948862,5901944,Selena Berg,South Mary,Credit
2005-03-09,Isuzu NQR Xtra,Meru,5,Benjamin Patterson,Labh Singh,Co-op Bank,JABC265XYZmJ,2011-06-14,2009-11-14,4820377,3918351,Mrs. Sara Walker,Lake Amber,Cash
2020-08-28,Isuzu FSR,Chuka,2,Crystal Fleming,General Body Works,NCBA,JABC864XYZsQ,2017-09-14,2016-03-29,2295182,3728736,Christopher Martinez,Ericatown,Credit
